PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,PeriastronDeg,LongitudeDeg,AscendingNodeDeg,InclinationDeg,SurfaceTempK,AgeGyr,DiscoveryMethod,DiscoveryYear,LastUpdated,RightAscension,Declination,DistFromSunParsec,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,HostStarAgeGyr,ListsPlanetIsOn
Kepler-449 b,2,,0.1834,12.58242,0.105,0.03,,,,,,,transit,2015,15/07/28,19 34 55.874,+41 54 02.98,,0.969,1.57,,5588,,"Confirmed planets, Planets in binary systems, S-type"
Kepler-449 c,2,,0.2466,33.6727,0.202,0.05,,,,,,,transit,2015,15/07/28,19 34 55.874,+41 54 02.98,,0.969,1.57,,5588,,"Confirmed planets, Planets in binary systems, S-type"
Kepler-683 b,0,,0.176,2.53918318,,,,,,,,,transit,2016,16/05/10,19 25 46,+37 54 20,,0.96,0.95,-0.03,5703,,Confirmed planets
Kepler-1012 b,0,,0.115,5.50860439,,,,,,,,,transit,2016,16/05/10,19 17 11,+46 27 29,,0.95,0.91,0.05,5556,,Confirmed planets
Kepler-1001 b,0,,0.281,14.30511983,,,,,,,,,transit,2016,16/05/10,19 05 06,+48 37 07,,0.9,0.88,-0.03,5491,,Confirmed planets
Kepler-184 b,0,,0.21507,10.687576,,,,,,,,,transit,2014,14/02/26,19 27 48,+43 04 28,727.97,0.97,0.873,,5788,,Confirmed planets
Kepler-184 c,0,,0.17953,20.303005,,,,,,,,,transit,2014,14/02/26,19 27 48,+43 04 28,727.97,0.97,0.873,,5788,,Confirmed planets
Kepler-184 d,0,,0.22691,29.022358,,,,,,,,,transit,2014,14/02/26,19 27 48,+43 04 28,727.97,0.97,0.873,,5788,,Confirmed planets
Kepler-18 b,0,0.0217,0.179,3.504725,0.0447,,,,,84.92,1181.7,,transit,2011,11/10/05,19 52 19.067,+44 44 46.94,,0.972,1.108,0.2,5383,,Confirmed planets
Kepler-18 c,0,0.054,0.49,7.64159,0.0752,,,,,87.68,911.1,,transit,2011,11/10/05,19 52 19.067,+44 44 46.94,,0.972,1.108,0.2,5383,,Confirmed planets
Kepler-18 d,0,0.052,0.62,14.85888,0.1172,,,,,88.07,729.8,,transit,2011,11/10/05,19 52 19.067,+44 44 46.94,,0.972,1.108,0.2,5383,,Confirmed planets
HD 32518 b,0,3.04,,157.54,0.59,0.01,306.11,,,,,,RV,2009,15/09/20,05 09 36.71904,+69 38 21.8510,120.6,1.13,10.22,-0.15,4580,,Confirmed planets
HAT-P-44 b,0,0.392,1.28,,0.0507,0.072,98,,,89,1126,,transit,2013,13/08/16,14 12 35,+47 00 53,374,0.939,0.979,0.33,5295,8.9,Confirmed planets
HAT-P-44 c,0,1.6,,219.9,0.699,,,,,,,,transit,2013,13/08/16,14 12 35,+47 00 53,374,0.939,0.979,0.33,5295,8.9,Confirmed planets
Kepler-1312 b,0,,0.187,5.44832529,,,,,,,,,transit,2016,16/05/10,19 31 53,+41 02 09,,0.99,0.92,-0.02,5719,,Confirmed planets
Kepler-1569 b,0,,0.15,5.79180156,,,,,,,,,transit,2016,16/05/10,19 28 49,+37 13 16,,1.25,1.4,0.06,6319,,Confirmed planets
HD 200964 b,0,1.85,,613.8,1.601,0.04,288,,,,,,RV,2010,15/09/23,21 06 39.84239,+03 48 11.2280,68.4,1.44,4.3,-0.15,5164,3,Confirmed planets
HD 200964 c,0,0.895,,825,1.95,0.181,182.6,,,,,,RV,2010,15/09/23,21 06 39.84239,+03 48 11.2280,68.4,1.44,4.3,-0.15,5164,3,Confirmed planets
Kepler-1342 b,0,,0.148,2.21571036,,,,,,,,,transit,2016,16/05/10,19 48 05,+43 25 57,,0.93,0.9,0.03,5527,,Confirmed planets
Kepler-1634 b,0,,0.285,374.876239,,,,,,,,,transit,2016,16/05/10,19 36 10,+45 08 23,,0.92,0.89,0.02,5474,,Confirmed planets
Kepler-1265 b,0,,0.12,6.49441289,,,,,,,,,transit,2016,16/05/10,18 58 21,+47 04 46,,0.71,0.69,-0.1,4630,,Confirmed planets
WD 0806-661 B,0,8,,,,,,,,,340,,imaging,2011,11/04/22,08 06 53.736,-66 18 16.74,19.2,0.62,,,5700,,Confirmed planets
HAT-P-19 b,0,0.292,1.109,4.0087844,0.0466,0.067,256,,,88.89,1010,,transit,2010,15/08/15,00 38 04.012,+34 42 41.56,215,0.842,0.82,0.23,4990,5.5,Confirmed planets
Kepler-759 b,0,,0.203,41.805985,,,,,,,,,transit,2016,16/05/10,19 20 32,+41 22 53,,1.04,1.04,0.06,5860,,Confirmed planets
Kepler-563 b,0,,0.276,22.18432708,,,,,,,,,transit,2016,16/05/10,19 29 47,+46 17 23,,0.8,0.77,-0.08,5066,,Confirmed planets
Kepler-1607 b,0,,0.082,13.6473676,,,,,,,,,transit,2016,16/05/10,19 44 14,+42 39 22,,1.14,1.21,0.05,6116,,Confirmed planets
Kepler-1631 b,0,,0.12,4.09513932,,,,,,,,,transit,2016,16/05/10,19 38 32,+43 48 28,,0.97,0.95,0.04,5679,,Confirmed planets
Kepler-973 b,0,,0.175,49.6077331,,,,,,,,,transit,2016,16/05/10,19 20 40,+49 55 26,,0.86,0.78,-0.06,5213,,Confirmed planets
Kepler-278 b,0,,0.3709,30.160546,0.195,0.03,,,,88.5,,,transit,2014,15/07/28,19 20 25,+38 42 08,511.95,1.079,2.935,0.28,4991,,Confirmed planets
Kepler-278 c,0,,0.32716,51.078775,0.276,,,,,87.8,,,transit,2014,15/07/28,19 20 25,+38 42 08,511.95,1.079,2.935,0.28,4991,,Confirmed planets
Kepler-305 b,0,,0.26246,5.487108,,,,,,,,,transit,2014,14/02/26,19 56 53,+40 20 35,1013.46,0.9,0.794,,5100,,Confirmed planets
Kepler-305 c,0,,0.25608,8.290858,,,,,,,,,transit,2014,14/02/26,19 56 53,+40 20 35,1013.46,0.9,0.794,,5100,,Confirmed planets
Kepler-305 d,0,,0.24696,16.738661,,,,,,,,,transit,2014,14/02/26,19 56 53,+40 20 35,1013.46,0.9,0.794,,5100,,Confirmed planets
Kepler-182 c,0,,0.31258,20.684342,,,,,,,,,transit,2014,14/02/26,19 19 19,+50 35 10,1440.75,1.1,1.146,,6250,,Confirmed planets
Kepler-182 b,0,,0.23512,9.825792,,,,,,,,,transit,2014,14/02/26,19 19 19,+50 35 10,1440.75,1.1,1.146,,6250,,Confirmed planets
EPIC 204221263 b,0,0.0378,0.138,4.01593,0.0506,,,,,87.28,,,transit,2015,15/12/06,16 00 08.06,-23 11 21.4,,1.07,1.1,0.28,5757,,Confirmed planets
EPIC 204221263 c,0,0.031,0.216,10.56103,0.0964,,,,,88.61,,,transit,2015,15/12/06,16 00 08.06,-23 11 21.4,,1.07,1.1,0.28,5757,,Confirmed planets
Kepler-947 b,0,,0.203,26.9644317,,,,,,,,,transit,2016,16/05/10,19 37 28,+42 15 10,,0.9,0.87,-0.07,5508,,Confirmed planets
Kepler-1364 b,0,,0.192,13.32196237,,,,,,,,,transit,2016,16/05/10,19 40 37,+49 35 15,,1.49,1.79,0.04,6805,,Confirmed planets
Kepler-1179 b,0,,0.118,2.68505749,,,,,,,,,transit,2016,16/05/10,18 56 23,+47 48 38,,0.84,0.81,-0.03,5212,,Confirmed planets
Kepler-1589 b,0,,0.097,0.99166527,,,,,,,,,transit,2016,16/05/10,19 37 46,+40 34 18,,1.18,1.25,0.08,6166,,Confirmed planets
Kepler-4 b,0,0.077,0.357,3.21346,0.0456,0,,,,89.76,1474.7,,transit,2010,10/01/06,19 02 28,+50 08 09,550,1.223,1.487,0.17,5857,,Confirmed planets
HD 197037 b,2,0.79,,1035.7,2.07,0.22,298,,,,,,RV,2012,16/01/22,20 39 32.96014,+42 14 54.7845,32.3,1.11,,-0.2,6150,1.9,"Confirmed planets, Planets in binary systems, S-type"
KELT-7 b,0,1.28,1.533,2.7347749,0.04415,,,,,83.76,2048,,transit,2015,15/01/22,05 13 10.93,+33 19 05.40,129,1.535,1.732,0.139,6789,1.3,Confirmed planets
Kepler-885 b,0,,0.223,18.11472949,,,,,,,,,transit,2016,16/05/10,19 14 39,+49 44 14,,1.21,1.35,0.11,6187,,Confirmed planets
Kepler-491 b,0,,0.796,4.22538451,,,,,,,,,transit,2016,16/05/10,19 08 31,+42 21 01,,1.04,1.03,0.37,5582,,Confirmed planets
TYC 1422-614-1 b,0,2.5,,198.4,0.69,0.06,,,,,,,RV,2014,14/10/22,10 17 06.674,+19 33 30.47,759,1.15,6.85,0.15,4806,9.77,Confirmed planets
Kepler-1641 c,0,,0.263,32.657212,,,,,,,,,transit,2016,16/05/10,19 45 26,+41 34 28,,1.12,1.19,-0.02,6152,,Confirmed planets
HAT-P-3 b,0,0.591,0.827,2.899703,0.03866,0,,,,87.07,1047.2,,transit,2007,13/05/29,13 44 23,+48 01 43,130,0.917,0.799,0.27,5224,,Confirmed planets
Gliese 3341 b,0,0.02,,14.207,0.089,0.31,,,,,,,RV,2014,14/11/25,05 15 46.68,-31 17 46.6,23.2,0.47,0.439,-0.09,3546,,Confirmed planets
Kepler-655 b,0,,0.242,46.4063358,,,,,,,,,transit,2016,16/05/10,19 49 02,+46 50 35,,1.15,1.24,0,6170,,Confirmed planets
Kepler-486 b,0,,0.981,30.36044667,,,,,,,,,transit,2016,16/05/10,18 59 31,+49 16 01,,0.79,0.75,-0.04,4926,,Confirmed planets
CoRoT-12 b,0,0.917,1.44,2.828042,0.04016,0.07,,,,85.48,1318.7,,transit,2010,10/06/14,06 43 04,-01 17 47,1150,1.078,1.116,0.16,5675,,Confirmed planets
Kepler-436 b,0,,0.244,64.00205,0.339,,,,,89.93,,,transit,2015,15/01/28,20 06 52.98,+44 24 43.4,618,0.729,0.697,0.01,4651,3,Confirmed planets
Kepler-436 c,0,,0.208,16.79713874,,,,,,,,,transit,2016,16/05/10,20 06 52.98,+44 24 43.4,618,0.729,0.697,0.01,4651,3,Confirmed planets
HD 10697 b,0,6.38,,1076.4,2.16,0.1,,,,69,221.8,,RV,2000,10/10/19,01 44 55,+20 04 59,32.56,1.15,1.72,0.1,5641,,Confirmed planets
Kepler-721 b,0,,0.236,5.39202539,,,,,,,,,transit,2016,16/05/10,18 57 43,+44 28 50,,0.82,0.78,-0.01,5075,,Confirmed planets
OGLE-05-169L b,0,0.0444,,,,,,,,,,,microlensing,2005,15/08/01,18 06 05,-30 43 57,4100,0.69,,,,,Confirmed planets
Kepler-259 b,0,,0.25516,8.115317,,,,,,,,,transit,2014,14/02/26,19 12 50,+46 36 54,1182.5,1.015,0.898,,5938,,Confirmed planets
Kepler-259 c,0,,0.24605,36.924931,,,,,,,,,transit,2014,14/02/26,19 12 50,+46 36 54,1182.5,1.015,0.898,,5938,,Confirmed planets
HAT-P-18 b,0,0.196,0.947,5.507978,0.0559,0.009,,,,88.79,841,,transit,2010,14/03/31,17 05 24,+33 00 45,166,0.77,0.717,0.1,4870,,Confirmed planets
HD 10647 b,0,0.94,,989.2,2.015,0.15,212,,,,195.9,,RV,2003,12/11/29,01 42 29,-53 44 27,17.3,1.11,1.1,0,6039,1.4,Confirmed planets
Kepler-169 e,0,,0.20049,13.767102,,,,,,,,,transit,2014,14/02/26,19 03 59,+40 55 09,443.8,0.918,0.763,,4997,,Confirmed planets
Kepler-169 c,0,,0.11027,6.195469,,,,,,,,,transit,2014,14/02/26,19 03 59,+40 55 09,443.8,0.918,0.763,,4997,,Confirmed planets
Kepler-169 b,0,,0.10298,3.250619,,,,,,,,,transit,2014,14/02/26,19 03 59,+40 55 09,443.8,0.918,0.763,,4997,,Confirmed planets
Kepler-169 d,0,,0.11391,8.348125,,,,,,,,,transit,2014,14/02/26,19 03 59,+40 55 09,443.8,0.918,0.763,,4997,,Confirmed planets
Kepler-169 f,0,,0.23512,87.090195,,,,,,,,,transit,2014,14/02/26,19 03 59,+40 55 09,443.8,0.918,0.763,,4997,,Confirmed planets
Kepler-1551 b,0,,0.237,24.4973698,,,,,,,,,transit,2016,16/05/10,19 43 09,+39 54 29,,1.14,1.22,0.01,6136,,Confirmed planets
MOA-bin-1 b,0,3.7,,,8.3,,,,,,,,microlensing,2012,12/03/22,17 51 10,-29 47 38,5100,0.75,,,5700,,Confirmed planets
Kepler-1042 b,0,,0.195,10.13202575,,,,,,,,,transit,2016,16/05/10,19 14 41,+39 49 26,,0.75,0.72,-0.1,4815,,Confirmed planets
Kepler-1056 b,0,,0.269,27.495606,,,,,,,,,transit,2016,16/05/10,19 58 06,+46 53 57,,1.12,1.2,0.02,6127,,Confirmed planets
HD 213240 A b,2,4.5,,951,2.03,0.45,,,,,,,RV,2001,12/12/08,22 31 00,-49 25 59,40.75,1.22,1.5,0.16,,3.6,"Confirmed planets, Planets in binary systems, S-type"
Kepler-333 b,0,,0.12029,12.551158,,,,,,,,,transit,2014,14/02/26,19 29 08,+40 54 48,288.94,0.601,0.534,,4259,,Confirmed planets
Kepler-333 c,0,,0.10115,24.08821,,,,,,,,,transit,2014,14/02/26,19 29 08,+40 54 48,288.94,0.601,0.534,,4259,,Confirmed planets
Kepler-935 b,0,,0.12,4.88083852,,,,,,,,,transit,2016,16/05/10,19 40 05,+46 37 09,,0.78,0.73,-0.01,4830,,Confirmed planets
Kepler-22 b,0,,0.21689,290,0.849,,,,,,249.6,,transit,2011,11/12/05,19 16 52,+47 53 04,180,0.97,0.979,,5510,,Confirmed planets
EPIC 201713348 b,0,,0.118,1.42266,0.023,,,,,87.75,,,transit,2015,15/12/06,11 17 47.78,+03 51 59.0,,0.8,0.74,-0.03,4924,,Confirmed planets
EPIC 201713348 c,0,,0.25,5.34059,0.0555,,,,,88.33,,,transit,2015,15/12/06,11 17 47.78,+03 51 59.0,,0.8,0.74,-0.03,4924,,Confirmed planets
Kepler-373 b,0,,0.12394,5.535309,,,,,,,,,transit,2014,14/02/26,19 17 33,+50 35 49,763.85,0.978,0.845,,5787,,Confirmed planets
Kepler-373 c,0,,0.113,16.725948,,,,,,,,,transit,2014,14/02/26,19 17 33,+50 35 49,763.85,0.978,0.845,,5787,,Confirmed planets
Kepler-1191 b,0,,0.135,5.60014851,,,,,,,,,transit,2016,16/05/10,19 26 38,+48 00 34,,0.85,0.81,-0.08,5308,,Confirmed planets
Kepler-1325 b,0,,0.255,33.8786838,,,,,,,,,transit,2016,16/05/10,19 00 04,+42 05 07,,0.93,0.91,0.01,5550,,Confirmed planets
EPIC 205071984 b,0,,0.48,8.99218,0.0808,,,,,89,,,transit,2015,15/12/06,16 49 42.26,-19 32 34.2,,0.87,0.87,0,5315,,Confirmed planets
EPIC 205071984 c,0,,0.31,20.65614,0.1873,,,,,88.23,,,transit,2015,15/12/06,16 49 42.26,-19 32 34.2,,0.87,0.87,0,5315,,Confirmed planets
EPIC 205071984 d,0,,0.335,31.71922,0.1873,,,,,88.4,,,transit,2015,15/12/06,16 49 42.26,-19 32 34.2,,0.87,0.87,0,5315,,Confirmed planets
CoRoT-19 b,0,1.11,1.45,3.89713,0.0518,0.047,,,,87.61,1515.3,,transit,2011,11/07/05,06 28 08,-00 10 15,800,1.21,1.65,-0.02,6090,,Confirmed planets
Kepler-1608 b,0,,0.154,16.4735686,,,,,,,,,transit,2016,16/05/10,19 42 15,+39 25 03,,0.75,0.72,-0.24,4992,,Confirmed planets
HD 106252 b,0,7.56,,1600,2.7,0.47,,,,166.7,158.8,,RV,2002,11/01/11,12 13 29,+10 02 29,37.44,0.96,1.09,-0.078,5754,,Confirmed planets
Kepler-1581 b,0,,0.071,6.28385491,,,,,,,,,transit,2016,16/05/10,19 09 29,+39 36 13,,1.12,1.23,0.07,6022,,Confirmed planets
Kepler-47 (AB) b,1,,0.27156828,49.514,0.2956,,,,,89.59,448.8,,transit,2012,12/08/28,19 41 11,+46 55 13,1189,,,,,,"Confirmed planets, Planets in binary systems, P-type"
Kepler-47 (AB) c,1,,0.42011066,303.158,0.989,,,,,89.826,245.3,,transit,2012,12/08/28,19 41 11,+46 55 13,1189,,,,,,"Confirmed planets, Planets in binary systems, P-type"
Kepler-447 b,0,1.37,1.65,7.79430132,0.0769,0.123,,,,86.55,,,transit,2015,15/02/11,19 01 04.461,+48 33 36.05,,0.764,0.872,0.07,5493,,Confirmed planets
Kepler-577 b,0,,0.227,25.69578251,,,,,,,,,transit,2016,16/05/10,19 38 51,+39 04 26,,0.78,0.73,-0.14,4984,,Confirmed planets
HD 106270 b,0,11,,2890,4.3,0.402,,,,,187.6,,RV,2011,12/07/24,12 13 37,-09 30 47,84.9,1.32,2.5,0.08,5638,,Confirmed planets
Kepler-1297 b,0,,0.087,1.68189002,,,,,,,,,transit,2016,16/05/10,19 19 50,+47 01 13,,0.99,0.99,-0.04,5818,,Confirmed planets
Kepler-103 b,0,,0.307109,15.9654,0.128,0.03,,,,87.8,,,transit,2014,15/06/12,19 15 56.2,+40 03 52,476.8,1.09,1.44,0.07,5845,5.7,Confirmed planets
Kepler-103 c,0,,0.46841,179.612,0.641,0.02,,,,89.7,,,transit,2014,15/06/12,19 15 56.2,+40 03 52,476.8,1.09,1.44,0.07,5845,5.7,Confirmed planets
WASP-111 b,0,1.83,1.442,2.310965,0.03914,,,,,81.61,2140,,transit,2014,14/10/14,21 55 04.23,-22 36 45.2,210,1.5,1.85,0.08,6400,2.6,Confirmed planets
Kepler-1559 b,0,,0.064,0.97191543,,,,,,,,,transit,2016,16/05/10,19 29 09,+42 04 21,,0.86,0.82,-0.04,5316,,Confirmed planets
Kepler-1180 b,0,,0.178,16.8601286,,,,,,,,,transit,2016,16/05/10,19 43 33,+43 09 22,,1.09,1.14,0,6077,,Confirmed planets
Kepler-74 b,0,0.63,0.96,7.340711,0.0781,0,,,,87.46,,,transit,2012,15/01/27,19 32 22,+41 21 20,1330,1.18,1.12,0.42,6000,0.8,Confirmed planets
Kepler-869 b,0,,0.322,40.4287755,,,,,,,,,transit,2016,16/05/10,19 17 42,+50 59 39,,0.97,0.95,0.02,5664,,Confirmed planets
Kepler-148 c,0,,0.32807,4.180043,,,,,,,,,transit,2014,14/02/26,19 19 08,+46 51 31,934.81,0.777,0.851,,5272,,Confirmed planets
Kepler-148 b,0,,0.16403,1.729366,,,,,,,,,transit,2014,14/02/26,19 19 08,+46 51 31,934.81,0.777,0.851,,5272,,Confirmed planets
Kepler-148 d,0,,0.774,51.84688575,,,,,,,,,transit,2016,16/05/10,19 19 08,+46 51 31,934.81,0.777,0.851,,5272,,Confirmed planets
WASP-59 b,0,0.863,0.775,7.919585,0.0697,0.1,,,,89.27,,,transit,2011,11/09/13,23 18 29.54,+24 53 21.4,125,0.719,0.613,-0.15,4650,,Confirmed planets
HD 37605 b,0,2.813,,55.01307,0.2837,0.6767,,,,,413.9,,RV,2004,12/01/19,05 40 01,+06 03 38,42.9,0.8,,0.39,5448,,Confirmed planets
HD 37605 c,0,3.379,,2720,3.821,0.013,,,,,116.7,,RV,2012,12/01/19,05 40 01,+06 03 38,42.9,0.8,,0.39,5448,,Confirmed planets
Kepler-322 c,0,,0.15219,4.337234,,,,,,,,,transit,2014,14/02/26,18 45 23,+44 17 42,443.29,0.9,0.89,,5388,,Confirmed planets
Kepler-322 b,0,,0.09204,1.653888,,,,,,,,,transit,2014,14/02/26,18 45 23,+44 17 42,443.29,0.9,0.89,,5388,,Confirmed planets
Kepler-1610 b,0,,0.144,8.70181574,,,,,,,,,transit,2016,16/05/10,19 43 37,+45 24 20,,0.91,0.87,0.1,5383,,Confirmed planets
HD 196050 A b,2,2.83,,1316.24,2.47,0.21,,,,,186.7,,RV,2002,12/12/04,20 37 51,-60 38 04,46.93,1.17,1.29,0.23,5874,3.55,"Confirmed planets, Planets in binary systems, S-type"
Kepler-1034 b,0,,0.202,12.12400943,,,,,,,,,transit,2016,16/05/10,19 04 28,+37 58 01,,0.83,0.8,-0.06,5198,,Confirmed planets
HD 145934 b,0,2.28,,2730,4.6,0.053,215,,,,,,RV,2015,15/08/15,16 13 09.9,+13 14 22.1,,1.748,5.38,,,,Confirmed planets
Kepler-1414 b,0,,0.11,3.51576315,,,,,,,,,transit,2016,16/05/10,18 59 43,+42 25 20,,0.8,0.75,-0.02,4951,,Confirmed planets
Kepler-1002 b,0,,0.153,4.33642933,,,,,,,,,transit,2016,16/05/10,19 32 19,+43 04 25,,1.22,1.57,0.04,6144,,Confirmed planets
SWEEPS-4,0,,0.81,4.2,0.055,,,,,87,,,transit,2006,14/05/23,17 58 54,-29 11 21,6600,1.24,1.18,,,,Confirmed planets
HD 40979 A b,2,3.28,,263.1,0.83,0.25,,,,,,,RV,2002,12/12/08,06 04 29,+44 15 37,33.3,1.1,1.21,0.194,,1,"Confirmed planets, Planets in binary systems, S-type"
Kepler-1524 b,0,,0.316,70.9674603,,,,,,,,,transit,2016,16/05/10,19 35 32,+39 31 11,,1.17,1.25,0.04,6179,,Confirmed planets
HD 134987 b,0,1.59,,258.19,0.81,0.233,,,,,313.3,,RV,1999,09/12/15,15 13 28,-25 18 33,22.2,1.07,1.25,0.25,5740,,Confirmed planets
HD 134987 c,0,0.82,,5000,5.8,0.12,,,,,117.4,,RV,2009,09/12/15,15 13 28,-25 18 33,22.2,1.07,1.25,0.25,5740,,Confirmed planets
WASP-126 b,0,0.28,0.96,3.2888,0.0449,,,,,87.9,1480,,transit,2016,16/02/04,04 13 29.72,-69 13 36.5,234,1.12,,0.17,5800,,Confirmed planets
Kepler-674 b,0,,0.151,2.24338185,,,,,,,,,transit,2016,16/05/10,19 00 42,+50 08 59,,0.6,0.57,-0.27,4192,,Confirmed planets
Kepler-698 b,0,,0.328,16.32976218,,,,,,,,,transit,2016,16/05/10,19 14 02,+41 18 06,,0.94,0.91,-0.03,5612,,Confirmed planets
Kepler-195 b,0,,0.18499,8.307872,,,,,,,,,transit,2014,14/02/26,19 12 29,+47 58 00,681.77,0.843,0.775,,5329,,Confirmed planets
HD 145457 b,0,2.9,,176.3,0.76,0.112,,,,,756.4,,RV,2010,10/05/18,16 10 04,+26 44 34,126,1.9,9.9,-0.14,4757,,Confirmed planets
EPIC 201702477 b,2,,0.67,40.7362,0.2205,,,,,,529,,transit,2015,15/07/07,11 40 57.791,+03 40 53.7,673,0.87,0.85,-0.26,5618,,"Controversial, Planets in binary systems, S-type"
Kepler-1449 b,0,,0.15,13.2274528,,,,,,,,,transit,2016,16/05/10,19 12 56,+50 34 04,,1.08,1.1,0.04,5979,,Confirmed planets
BD-11 4672 b,0,0.53,,1667,2.28,0.05,231,,,,,,RV,2014,15/11/17,18 33 28.83271,-11 38 09.7315,27.3,0.571,0.52,-0.48,4475,4.4,Confirmed planets
WASP-77 A b,2,1.76,1.21,1.3600309,0.024,,,,,89.4,,,transit,2012,12/11/26,02 28 37,-07 03 38,93,1.002,1.12,0,5500,,"Confirmed planets, Planets in binary systems, S-type"
HATS-33 b,0,1.192,1.23,2.5495551,0.03727,0.08,,,,87.62,,,transit,2016,16/07/11,19 38 32,-55 40 12,355,1.062,1.022,0.29,5659,3,Confirmed planets
HD 126525 b,0,0.224,,948.12,1.8105,0.13,,,,,185,,RV,2011,11/09/12,14 27 33,-51 55 59,38.1,,,,5940,,Confirmed planets
Kepler-671 b,0,,0.24,4.28095859,,,,,,,,,transit,2016,16/05/10,19 37 04,+49 18 51,,0.97,0.95,0.08,5624,,Confirmed planets
Qatar-4 b,0,5.85,1.552,1.8053949,0.02861,,,,,88.82,,,,2016,16/09/18,00 19 26,+44 01 39,,0.954,1.115,0.166,5219,12.9,Confirmed planets
HD 158038 b,0,1.8,,521,1.48,0.291,,,,,381.6,,RV,2011,12/07/24,17 25 45,+27 18 12,103,1.65,4.8,0.28,4897,,Confirmed planets
HAT-48 b,0,0.168,1.131,4.40865,0.0543,0,,,,86.8,,,transit,2016,16/06/16,02 57 53,+30 37 33,305,1.099,1.223,0.02,5946,4.7,Confirmed planets
Kepler-1427 b,0,,0.098,0.96897238,,,,,,,,,transit,2016,16/05/10,19 41 24,+45 06 52,,1.01,1.01,0.06,5793,,Confirmed planets
WASP-56 b,0,0.571,1.092,4.617101,0.05458,0,,,,88.5,1216,,transit,2011,12/10/08,12 13 27,+23 03 20,255,1.03,0.99,,5600,,Confirmed planets
CoRoT-1 b,0,1.03,1.49,1.5089557,0.0254,0,,,,85.1,1898,,transit,2007,12/04/05,06 48 19,-03 06 08,460,0.95,1.11,-0.3,6298,,Confirmed planets
Kepler-549 b,0,,0.229,42.9495649,,,,,,,,,transit,2016,16/05/10,18 52 05,+47 15 40,,0.88,0.84,-0.03,5360,,Confirmed planets
Kepler-549 c,0,,0.261,117.040498,,,,,,,,,transit,2016,16/05/10,18 52 05,+47 15 40,,0.88,0.84,-0.03,5360,,Confirmed planets
PSR 1257+12 A,0,6.29E-05,,25.262,0.19,0,0,,,,,,timing,1992,16/04/12,13 00 03.5767,+12 40 56.4721,710,1.4,1.4E-05,,,3,Confirmed planets
PSR 1257+12 B,0,0.0135,,66.5419,0.36,0.0186,250.4,,,53,,,timing,1992,16/04/12,13 00 03.5767,+12 40 56.4721,710,1.4,1.4E-05,,,3,Confirmed planets
PSR 1257+12 C,0,0.0123,,98.2114,0.46,0.0252,108.3,,3,47,,,timing,1992,16/04/12,13 00 03.5767,+12 40 56.4721,710,1.4,1.4E-05,,,3,Confirmed planets
75 Cet b,0,3,,691.9,2.1,0.117,165,,,,,,RV,2012,15/11/02,02 32 09.42200,-01 02 05.6236,81.4,2.49,10.5,0,4846,,Confirmed planets
Kepler-1349 b,0,,0.062,2.12823928,,,,,,,,,transit,2016,16/05/10,19 05 21,+48 44 39,,1.16,1.28,0.03,6086,,Confirmed planets
HD 189567 b,0,0.0316,,14.275,0.1099,0.23,,,,,769.4,,RV,2011,11/09/12,20 05 33,-67 19 15,17.7,,,,5940,,Confirmed planets
Kepler-365 b,0,,0.18591,10.664903,,,,,,,,,transit,2014,14/02/26,19 42 30,+49 07 49,1089.04,,1.048,,6012,,Confirmed planets
Kepler-365 c,0,,0.14945,17.784129,,,,,,,,,transit,2014,14/02/26,19 42 30,+49 07 49,1089.04,,1.048,,6012,,Confirmed planets
Kepler-68 b,2,0.026,0.206,5.398763,0.0617,0.02,,,,87.6,1280,,transit,2013,15/06/09,19 24 07.7644,+49 02 24.957,135,1.079,1.243,0.12,5793,6.3,"Confirmed planets, Planets in binary systems, S-type"
Kepler-68 c,2,0.015,0.085,9.605085,0.09059,,,,,86.93,,,transit,2013,15/06/09,19 24 07.7644,+49 02 24.957,135,1.079,1.243,0.12,5793,6.3,"Confirmed planets, Planets in binary systems, S-type"
Kepler-68 d,2,0.947,,580,1.4,0.18,,,,,,,RV,2013,15/06/09,19 24 07.7644,+49 02 24.957,135,1.079,1.243,0.12,5793,6.3,"Confirmed planets, Planets in binary systems, S-type"
Kepler-164 c,0,,0.24879,10.945723,,,,,,,,,transit,2014,14/02/26,19 11 07,+47 37 47,965.43,1.15,1.148,,5888,,Confirmed planets
Kepler-164 d,0,,0.22327,28.986769,,,,,,,,,transit,2014,14/02/26,19 11 07,+47 37 47,965.43,1.15,1.148,,5888,,Confirmed planets
Kepler-164 b,0,,0.12849,5.03503,,,,,,,,,transit,2014,14/02/26,19 11 07,+47 37 47,965.43,1.15,1.148,,5888,,Confirmed planets
WASP-120 b,0,5.01,1.515,3.6112706,0.0522,0.059,,,,82.29,1890,,transit,2015,15/09/07,04 10 27.85,-45 53 53.5,,1.45,1.93,-0.05,6450,,Confirmed planets
Kepler-1647 b,1,1.52,1.06,1107.5923,2.7205,0.0581,155.0464,,,90.0972,,,transit,2015,16/10/14,19 52 36,+40 39 22,,,,,,,"Confirmed planets, Planets in binary systems, P-type"
